aid,audcatid,artstid,Title,Album,Sevadar,Titlefws,Duration,audiosize,audiopath,audio_year,filename,cdnpath,imgpath,status,createdon
,,,Kar Kirpa Vasoh Merai Hirdae,December 2010,Baby Santa,KKVMH,17,16,,2010,23_Baby - Kar Kirpa Vasoh Merai Hirdae (25-12-10)M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D106/23_Baby%20-%20Kar%20Kirpa%20Vasoh%20Merai%20Hirdae%20%2825-12-10%29M.mp3,,1,2010-12-30 23:45:36
,,,Kar Kirpa Dayaal Prabh,December 2010,Baljit Kaur Dodra,KKDP,20,18,,2010,22_Baljit Kaur Dodra - Kar Kirpa Dayaal Prabh (30-12-10) M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D107/22_Baljit%20Kaur%20Dodra%20-%20Kar%20Kirpa%20Dayaal%20Prabh%20%2830-12-10%29%20M.mp3,,1,2010-12-30 23:45:36
,,,Sukh Nahee Re Har Bhagat Bina,December 2010,Baljot Kaur California,SNRHBB,13,12,,2010,24_Baljot Kaur California - Sukh Nahee Re Har Bhagat Bina(28-12-10) E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D106/24_Baljot%20Kaur%20California%20-%20Sukh%20Nahee%20Re%20Har%20Bhagat%20Bina%2828-12-10%29%20E.mp3,,1,2010-12-30 23:45:36
,,,GV - 61 Shabad Part - 4,December 2010,Bhupinder Singh Mohali,G-6SP-4,34,32,,2010,11_BS GV - 61 Shabad Part - 4 (23-12-10) E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D102/11_BS%20GV%20-%2061%20Shabad%20Part%20-%204%20%2823-12-10%29%20E.mp3,,1,2010-12-30 23:45:36
,,,Kirpa Nidh Basoh Ridae Har Ne,December 2010,Bir Davinder Kaur,KNBRHN,16,16,,2010,28_Bir Davinder Kaur - Kirpa Nidh Basoh Ridae Har Neet  (30-12-10) E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D107/28_Bir%20Davinder%20Kaur%20-%20Kirpa%20Nidh%20Basoh%20Ridae%20Har%20Neet%20%20%2830-12-10%29%20E.mp3,,1,2010-12-30 23:45:36
,,,Doe Kar Jor Kare Benanti,December 2010,Chashneet Kaur DL,DKJKB,24,22,,2010,23_CKD - Doe Kar Jor Kare Benanti (26-12-10)E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D104/23_CKD%20-%20Doe%20Kar%20Jor%20Kare%20Benanti%20%2826-12-10%29E.mp3,,1,2010-12-30 23:45:36
,,,Rakha Aek Hamara Suamee,December 2010,Chashneet Kaur DL,RAHS,12,11,,2010,23_CKD - Rakha Aek Hamara Suamee (30-12-10) M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D107/23_CKD%20-%20Rakha%20Aek%20Hamara%20Suamee%20%2830-12-10%29%20M.mp3,,1,2010-12-30 23:45:36
,,,Avho Meet Piare,December 2010,Davinder Kaur Patti,AMP,25,23,,2010,10_DKF -Avho Meet Piare (22-12-10) E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D102/10_DKF%20-Avho%20Meet%20Piare%20%2822-12-10%29%20E.mp3,,1,2010-12-30 23:45:36
,,,Tumree Saran Tumaaree Aasaa,December 2010,Davinder Kaur Patti,TSTA,15,14,,2010,15_DKF-Tumree Saran Tumaaree Aasaa (21-12-10) M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D101/15_DKF-Tumree%20Saran%20Tumaaree%20Aasaa%20%2821-12-10%29%20M.mp3,,1,2010-12-30 23:45:36
,,,Gursikhan Ki Har Dhoor Deh,December 2010,Daljit Kaur Bombay,GKHDD,16,15,,2010,33_Daljit Kaur Bombay - Gursikhan Ki Har Dhoor Deh (23-12-10) M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D107/33_Daljit%20Kaur%20Bombay%20-%20Gursikhan%20Ki%20Har%20Dhoor%20Deh%20%2823-12-10%29%20M.mp3,,1,2010-12-30 23:45:36
